Date,Open,High,Low,Close,Percent_Change
2021-02-19,105.96,106.53,104.87,105.06,-0.86
2021-02-22,103.35,104.57,103.11,103.24,-0.1
2021-02-23,101.25,104.1,100.1,103.54,2.26
2021-02-24,102.09,105.04,101.91,104.76,2.61
2021-02-25,103.37,104.74,101.06,101.57,-1.75
2021-02-26,102.53,103.55,100.8,101.84,-0.67
2021-03-01,102.83,104.33,102.3,104.08,1.22
2021-03-02,103.81,105.22,103.56,103.79,-0.02
2021-03-03,103.36,104.43,100.5,101.34,-1.96
2021-03-04,101.17,104.46,101.01,102.45,1.27
2021-03-05,103.66,105.91,102.32,105.43,1.71
2021-03-08,105.06,106.44,101.08,101.21,-3.66
2021-03-09,103.5,103.9,102.39,102.64,-0.84
2021-03-10,103.59,103.75,101.67,102.75,-0.81
2021-03-11,103.7,106.29,103.62,105.74,1.96
2021-03-12,104.25,104.51,102.38,103.1,-1.11
2021-03-15,103.11,103.35,102.18,103.32,0.2
2021-03-16,103.95,106.18,103.5,104.63,0.65
2021-03-17,103.8,105.49,102.7,104.55,0.72
2021-03-18,103.05,103.78,101.68,101.81,-1.2
2021-03-19,102.1,102.65,100.88,102.16,0.06
2021-03-22,102.09,102.9,101.3,101.93,-0.16
2021-03-23,102.58,103.62,101.96,102.65,0.06
2021-03-24,103.27,103.91,102.08,102.25,-0.98
2021-03-25,102.24,102.94,100.54,102.22,-0.02
2021-03-26,101.94,102.55,100.7,101.78,-0.16
2021-03-29,101.39,102.92,100.78,102.8,1.38
2021-03-30,102.88,103.54,102.2,102.78,-0.1
2021-03-31,102.96,104.67,102.84,103.43,0.46
2021-04-01,104.9,107.15,104.84,106.89,1.9
2021-04-05,107.65,111.87,107.58,111.28,3.37
2021-04-06,111.12,111.88,110.74,111.24,0.1
2021-04-07,111.31,112.75,111.27,112.48,1.06
2021-04-08,113.9,114.2,112.88,113.27,-0.55
2021-04-09,112.83,114.45,112.69,114.29,1.29
2021-04-12,113.31,113.77,111.92,112.74,-0.51
2021-04-13,113.07,113.86,112.8,113.36,0.26
2021-04-14,113.76,113.9,112.46,112.74,-0.89
2021-04-15,113.85,115.33,113.3,114.83,0.86
2021-04-16,115.15,115.32,114.22,114.89,-0.23
2021-04-19,114.6,115.92,114.39,115.12,0.45
2021-04-20,115.39,115.48,113.59,114.68,-0.62
2021-04-21,114.26,114.77,112.93,114.66,0.35
2021-04-22,114.66,115.19,112.82,113.4,-1.1
2021-04-23,114.17,116.29,113.91,115.76,1.39
2021-04-26,116.0,117.06,115.69,116.34,0.29
2021-04-27,116.8,116.87,115.21,115.36,-1.24
2021-04-28,120.36,122.62,118.74,119.0,-1.13
2021-04-29,120.52,121.83,120.11,121.49,0.81
2021-04-30,120.22,121.36,120.11,120.51,0.23
2021-05-03,120.14,120.99,119.22,119.76,-0.31
2021-05-04,118.49,118.96,115.58,117.71,-0.65
2021-05-05,118.42,119.11,117.57,117.84,-0.49
